_id,productGeneral__cusip,productProtection__downsideType,productId,productGeneral__isin,id,
"ObjectId(""608390bd20b1e4266c2d9ec8"")",,BARRIER,"UUID(""b81eaab2-873a-4bc8-9d1f-26f2e78986a0"")",XS2319608217,XS2319608217,
"ObjectId(""608390bc20b1e4266c2d9ec6"")",,BARRIER,"UUID(""d456a7f1-aa31-4706-8595-7b0d51d54e58"")",XS2319608134,XS2319608134,
"ObjectId(""608390bb9b93411e3d512275"")",,BARRIER,"UUID(""64124628-3a01-479b-b03f-c6c1d12f2fd6"")",XS2319605627,XS2319605627,
"ObjectId(""608390ba9b93411e3d512273"")",90278Y218,BARRIER,"UUID(""5fad8103-ae05-4dc0-ad3d-349f34d14a39"")",,90278Y218,
"ObjectId(""608390ba20b1e4266c2d9ec4"")",90278Y200,BARRIER,"UUID(""50ed5bd1-be23-4f7a-8998-cdac7f308d8d"")",,90278Y200,
"ObjectId(""6080f6679b93411e3d511cb2"")",,BARRIER,"UUID(""7017da5b-fe94-4678-ab7c-d9d24ba79958"")",US06748EKD49,US06748EKD49,
"ObjectId(""6080edcc20b1e4266c2d994a"")",61771VUX6,BARRIER,"UUID(""41c215f4-edd6-4c4f-8bb0-ca8c28245f23"")",,61771VUX6,
"ObjectId(""6080edc920b1e4266c2d9948"")",40057FZB3,BARRIER,"UUID(""0dcff333-adb9-4caf-9d9a-3d929e1aa491"")",,40057FZB3,
"ObjectId(""6080edc89b93411e3d511ba1"")",,BARRIER,"UUID(""76e2b0ab-5105-46a5-b913-00a87ececf16"")",XS2301329095,XS2301329095,
"ObjectId(""6080edc620b1e4266c2d9946"")",61771VTM2,BARRIER,"UUID(""6729f9b7-3363-47de-a487-d7b84023ec89"")",,61771VTM2,
"ObjectId(""6080edc59b93411e3d511b9f"")",36260W322,BARRIER,"UUID(""d009b468-aa87-4931-8fe6-d28a826652b2"")",,36260W322,
"ObjectId(""6080edc320b1e4266c2d9944"")",36260W306,BARRIER,"UUID(""e65ad44b-c163-4211-94c6-42cbf07214bf"")",,36260W306,
"ObjectId(""6080edc29b93411e3d511b9d"")",61772X196,BARRIER,"UUID(""5143cdf2-5511-4312-900f-73272dea572c"")",,61772X196,
"ObjectId(""6080edc220b1e4266c2d9942"")",36260W314,BARRIER,"UUID(""ccbb0dc4-4359-4a21-adb7-1a9971c2fb46"")",,36260W314,
"ObjectId(""6080edc19b93411e3d511b9b"")",61772X188,BARRIER,"UUID(""af61bda1-3049-4e89-93a5-07e38a97ec8f"")",,61772X188,
"ObjectId(""6080edc020b1e4266c2d9940"")",61772X204,BARRIER,"UUID(""ef970d4e-1a1f-47d7-9aab-dceb53892767"")",,61772X204,
"ObjectId(""6080edbf9b93411e3d511b99"")",61771VTJ9,BARRIER,"UUID(""245b22d7-0983-4b96-be18-ef235864e07a"")",,61771VTJ9,
"ObjectId(""6080edbd9b93411e3d511b97"")",17329F6A7,BARRIER,"UUID(""1165cfbc-c403-4667-8b02-1b218b3023fa"")",,17329F6A7,
"ObjectId(""6080edbc20b1e4266c2d993e"")",17329F2Q6,BARRIER,"UUID(""a689317f-577d-4f4b-8394-870617238786"")",,17329F2Q6,
"ObjectId(""6080edbb20b1e4266c2d993c"")",,BARRIER,"UUID(""16966c45-de6b-4b07-9d75-cd57c6b2097b"")",XS2318539108,XS2318539108,
"ObjectId(""607f9c449b93411e3d5119d8"")",06747R642,BARRIER,"UUID(""779d6c91-ee65-4aab-bd29-b2c56238231c"")",,06747R642,
"ObjectId(""607f9c439b93411e3d5119d6"")",48132V440,BARRIER,"UUID(""1a344ccf-3b54-45e8-9a20-13863074d76d"")",,48132V440,
"ObjectId(""607f9c4320b1e4266c2d9709"")",48132V457,BARRIER,"UUID(""ef31edfc-dea3-4521-a718-f48851f06ded"")",,48132V457,
"ObjectId(""607f9c4220b1e4266c2d9707"")",17329FAN4,BARRIER,"UUID(""202e4d4f-87ca-44c4-8e02-f358782def48"")",,17329FAN4,
"ObjectId(""607e4abd9b93411e3d511685"")",36260W348,BARRIER,"UUID(""25381df2-8b98-459b-bcab-ba0cc356e2c7"")",,36260W348,
"ObjectId(""607e4abc9b93411e3d511683"")",36260W330,BARRIER,"UUID(""cd0b94ec-c550-4e43-bf15-2e0fa78777aa"")",,36260W330,
"ObjectId(""607e4abb20b1e4266c2d910a"")",36260W264,BARRIER,"UUID(""ec73cf7f-96cd-4bc9-8c17-68eaeea66bea"")",,36260W264,
"ObjectId(""607e4abb20b1e4266c2d9108"")",36260W256,BARRIER,"UUID(""3a53a551-1617-45ba-8953-1dabe60ed353"")",,36260W256,
"ObjectId(""607e4aba9b93411e3d511681"")",36260W272,BARRIER,"UUID(""52c44460-49f3-4604-a344-699f11dc786c"")",,36260W272,
"ObjectId(""607661c16f8eaa470497ca2b"")",61772X121,BARRIER,"UUID(""d9dbf9da-9cf1-42de-b2c9-0f1a2bc84065"")",,61772X121,
"ObjectId(""607661c066eb9520c4dac8ed"")",61772X113,BARRIER,"UUID(""2d633af6-3554-4569-a49a-a19129153cb1"")",,61772X113,
"ObjectId(""607661bf6f8eaa470497ca29"")",06747R691,BARRIER,"UUID(""d38e34b3-1c5c-459f-be63-c02ea49b5f9a"")",,06747R691,
"ObjectId(""607661be6f8eaa470497ca27"")",48132V499,BARRIER,"UUID(""93a72b31-9ab4-4db8-9bc1-3c8dde0a418a"")",,48132V499,
"ObjectId(""607661bd66eb9520c4dac8eb"")",61772X105,BARRIER,"UUID(""cdfe46b7-d4f0-4e85-bf38-266f04eb8efc"")",,61772X105,
"ObjectId(""607661bc6f8eaa470497ca25"")",61771VRW2,BARRIER,"UUID(""78d357bc-8578-4c7d-9a57-ead1ea903e97"")",,61771VRW2,
"ObjectId(""607661ba66eb9520c4dac8e9"")",06748EHV8,BARRIER,"UUID(""21423e05-a3f2-4553-a885-1f747a643489"")",,06748EHV8,
"ObjectId(""6075103b24af2613f4972656"")",06747R667,BARRIER,"UUID(""c1f28dc2-f325-4b2f-8176-c821d89ddc22"")",,06747R667,
"ObjectId(""6075103ab7858a122333cef6"")",,BARRIER,"UUID(""228f313f-c803-4f83-a7d0-5d79ae2235ea"")",XS2318417172,XS2318417172,
"ObjectId(""6075103924af2613f4972654"")",36260W199,BARRIER,"UUID(""9b7a26c1-5250-412f-954c-8f32d0fff424"")",,36260W199,
"ObjectId(""607496bcb7858a122333cd6b"")",05600MTV6,BARRIER,"UUID(""315c3c16-b7d9-4c31-8a78-a6e53b1ba990"")",,05600MTV6,
"ObjectId(""607496bbb7858a122333cd67"")",40057FUN2,BUFFER,"UUID(""74e61db8-f46f-4771-9895-778c0d5c6b09"")",,40057FUN2,
"ObjectId(""607496b9b7858a122333cd63"")",48132TC20,BUFFER,"UUID(""1822c97e-28b2-48ec-9b37-1416b074b0a0"")",,48132TC20,
"ObjectId(""607496b7b7858a122333cd5d"")",48132TNV4,BUFFER,"UUID(""f7086ab6-8b60-490d-9429-20e789368b97"")",,48132TNV4,
"ObjectId(""607496b5b7858a122333cd59"")",48132TPA8,BUFFER,"UUID(""b3ec69bc-55f9-4982-8c25-630622552e10"")",,48132TPA8,
"ObjectId(""607496b3b7858a122333cd55"")",48132TB88,BUFFER,"UUID(""2b8027ee-0507-4058-aa94-1aed35c2f452"")",,48132TB88,
"ObjectId(""607496b1b7858a122333cd51"")",48132TNP7,BUFFER,"UUID(""537152c4-e58d-49d3-9d52-d538a57be5ac"")",,48132TNP7,
"ObjectId(""607496afb7858a122333cd4b"")",48132TNW2,BUFFER,"UUID(""340479cf-0fa0-47b6-b263-58490830eb39"")",,48132TNW2,
"ObjectId(""607496adb7858a122333cd47"")",48132TB39,BUFFER,"UUID(""5a6f0261-874a-4a97-8b54-9137923bf369"")",,48132TB39,
"ObjectId(""607496abb7858a122333cd41"")",48132TA89,BUFFER,"UUID(""6ee8f634-3f2d-44d3-adac-d90507d3b724"")",,48132TA89,
"ObjectId(""607496a9b7858a122333cd3d"")",40057FVG6,BUFFER,"UUID(""4ffefef5-7917-46cd-95ed-f986698e0dfd"")",,40057FVG6,
"ObjectId(""607496a4b7858a122333cd33"")",61771VPJ3,BUFFER,"UUID(""69e77078-1556-4c22-acd2-1bebe9cdf2e1"")",,61771VPJ3,
"ObjectId(""607496a2b7858a122333cd2d"")",61771VPG9,BUFFER,"UUID(""5f7e0bce-0b56-4459-b6e7-91c257c6f644"")",,61771VPG9,
"ObjectId(""6074969fb7858a122333cd29"")",05600MTP9,BUFFER,"UUID(""be2597fc-4f78-44d2-8d69-d5ae869b1708"")",,05600MTP9,
"ObjectId(""6074969eb7858a122333cd25"")",06748EHU0,BUFFER,"UUID(""cb9475ad-7c5f-465c-82b4-3b4ad8af1bbb"")",,06748EHU0,
"ObjectId(""6074969cb7858a122333cd1f"")",22552XHR7,BUFFER,"UUID(""e7dd108b-e061-45ad-9c29-524a187bb716"")",,22552XHR7,
"ObjectId(""60711bba80562f1191255ea3"")",89114TFW7,BARRIER,"UUID(""44db9354-de64-4b3e-9f4c-74fe4381cc69"")",,89114TFW7,
"ObjectId(""606fca3980562f1191255c4a"")",61772X154,BARRIER,"UUID(""fee6dd69-ba3b-4901-912a-a1f78e932ac7"")",,61772X154,
"ObjectId(""606f3c0aa2406f7f6242c434"")",48132P5J9,BUFFER,"UUID(""8f384ba8-883b-45a3-b3b9-f02ea8ade9c4"")",,48132P5J9,
"ObjectId(""606f3bfca2406f7f6242c41a"")",61771ENZ7,BARRIER,"UUID(""72625118-5b2f-4358-b70d-aba1cb7d16ab"")",,61771ENZ7,
"ObjectId(""606f3ba6a2406f7f6242c384"")",48132RB41,BUFFER,"UUID(""6d733a90-8d69-4533-aec3-79d13d5fb33e"")",,48132RB41,
"ObjectId(""606e810c80562f1191254162"")",40057CNK3,BARRIER,"UUID(""ca6c09da-dad7-48b0-9ab2-aacf8dae7b23"")",,40057CNK3,
"ObjectId(""606e80aea2406f7f6242c00d"")",40056YAD6,BARRIER,"UUID(""b4546b9d-7008-412f-abc8-89600a0dce9c"")",,40056YAD6,
"ObjectId(""606e80a5a2406f7f6242c005"")",40435UV35,BARRIER,"UUID(""982dcd74-01fa-4aec-828e-50cd0dde845e"")",,40435UV35,
"ObjectId(""606e7ff9a2406f7f6242bf93"")",22551NUL8,BARRIER,"UUID(""1bfccbe5-127e-466e-abee-ad309a067c8e"")",,22551NUL8,
"ObjectId(""606e7fcb80562f1191254091"")",40056Y7J7,BARRIER,"UUID(""d2789558-6ab4-4819-b1e2-d8554e544075"")",,40056Y7J7,
"ObjectId(""606e7fcaa2406f7f6242bf71"")",40056Y6Z2,BARRIER,"UUID(""18d7ed50-f285-4ff2-913d-0cb8cd51cb05"")",,40056Y6Z2,
"ObjectId(""606e3944a2406f7f6242bd76"")",40057FVH4,BARRIER,"UUID(""5226bf38-aea7-468c-be1d-b27826f367d9"")",US40057FVH45,40057FVH4,
"ObjectId(""606e38afa2406f7f6242bc5a"")",40057FUS1,BARRIER,"UUID(""48d88513-1bb3-4a1a-b5d3-6243ce917590"")",,40057FUS1,
"ObjectId(""606e38aea2406f7f6242bc58"")",40057FUR3,BARRIER,"UUID(""df56e97f-d368-4fd3-93d8-498b688afdf2"")",,40057FUR3,
"ObjectId(""606e256c80562f1191253c89"")",48132TNM4,BARRIER,"UUID(""9b4a7025-5bfd-4867-a167-45f5de450e7d"")",,48132TNM4,
"ObjectId(""606e256680562f1191253c7d"")",48132TC95,BARRIER,"UUID(""dfcb7a90-810b-4f00-9620-a312dd9241c4"")",,48132TC95,
"ObjectId(""606e254e80562f1191253c49"")",48132TNX0,BUFFER,"UUID(""79df5985-9b03-47ac-8c9d-a1dcc9b6be93"")",,48132TNX0,
